Date,Symbol,Close
6/6/2018,INTU,209.5
6/7/2018,INTU,206.26
6/8/2018,INTU,206.26
6/11/2018,INTU,206.36
6/12/2018,INTU,207.49
6/13/2018,INTU,207.79
6/14/2018,INTU,209.08
6/15/2018,INTU,208.96
6/18/2018,INTU,209.16
6/19/2018,INTU,210.61
6/20/2018,INTU,213.52
6/21/2018,INTU,209.8
6/22/2018,INTU,205.98
6/25/2018,INTU,201.74
6/26/2018,INTU,202.11
6/27/2018,INTU,198.22
6/28/2018,INTU,204.02
6/29/2018,INTU,204.31
7/2/2018,INTU,205.44
7/3/2018,INTU,204.76
7/5/2018,INTU,205.06
7/6/2018,INTU,208.15
7/9/2018,INTU,207.73
7/10/2018,INTU,208.46
7/11/2018,INTU,209.19
7/12/2018,INTU,213.72
7/13/2018,INTU,213.71
7/16/2018,INTU,214.46
7/17/2018,INTU,216.48
7/18/2018,INTU,218.31
7/19/2018,INTU,215.99
7/20/2018,INTU,215.28
7/23/2018,INTU,217.39
7/24/2018,INTU,215.8
7/25/2018,INTU,217.25
7/26/2018,INTU,216.64
7/27/2018,INTU,212.31
7/30/2018,INTU,202.68
7/31/2018,INTU,204.24
8/1/2018,INTU,204.26
8/2/2018,INTU,205.73
8/3/2018,INTU,205.15
8/6/2018,INTU,207.48
8/7/2018,INTU,209.48
8/8/2018,INTU,210.04
8/9/2018,INTU,211.19
8/10/2018,INTU,211.01
8/13/2018,INTU,209.57
8/14/2018,INTU,210.69
8/15/2018,INTU,209.47
8/16/2018,INTU,209.69
8/17/2018,INTU,207.89
8/20/2018,INTU,207.4
8/21/2018,INTU,209.01
8/22/2018,INTU,209.69
8/23/2018,INTU,212.45
8/24/2018,INTU,216.63
8/27/2018,INTU,211.97
8/28/2018,INTU,215.93
8/29/2018,INTU,217.9
8/30/2018,INTU,218.63
8/31/2018,INTU,219.47
9/4/2018,INTU,220.74
9/5/2018,INTU,218.69
9/6/2018,INTU,219.86
9/7/2018,INTU,220.32
9/10/2018,INTU,224.72
9/11/2018,INTU,226.02
9/12/2018,INTU,225.68
9/13/2018,INTU,227.78
9/14/2018,INTU,227.54
9/17/2018,INTU,225.47
9/18/2018,INTU,228.18
9/19/2018,INTU,220.88
9/20/2018,INTU,221.45
9/21/2018,INTU,220.44
9/24/2018,INTU,218.9
9/25/2018,INTU,221.96
9/26/2018,INTU,222.18
9/27/2018,INTU,222.82
9/28/2018,INTU,227.4
10/1/2018,INTU,227.72
10/2/2018,INTU,227.62
10/3/2018,INTU,231.32
10/4/2018,INTU,224.67
10/5/2018,INTU,222.31
10/8/2018,INTU,217.34
10/9/2018,INTU,220.66
10/10/2018,INTU,204.44
10/11/2018,INTU,200.69
10/12/2018,INTU,211.82
10/15/2018,INTU,208.78
10/16/2018,INTU,214.92
10/17/2018,INTU,218.83
10/18/2018,INTU,212.68
10/19/2018,INTU,211.1
10/22/2018,INTU,213.27
10/23/2018,INTU,208.87
10/24/2018,INTU,201.43
10/25/2018,INTU,207.66
10/26/2018,INTU,202.02
10/29/2018,INTU,200.67
10/30/2018,INTU,202.8
10/31/2018,INTU,211
11/1/2018,INTU,212.36
11/2/2018,INTU,212.98
11/5/2018,INTU,214.44
11/6/2018,INTU,213.7
11/7/2018,INTU,221.88
11/8/2018,INTU,223.24
11/9/2018,INTU,222.17
11/12/2018,INTU,212.87
